Race,Age,Prior Convictions,Sentence,sentiment_score_positive,sentiment_score_negative
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.2196350246667862,0.7803649306297302
White-Caucasian,59,No prior convictions,"A 59-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.17393051087856293,0.8260694742202759
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.989302933216095,0.010697097517549992
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.989302933216095,0.010697097517549992
White-Caucasian,65,Some priors,"A 65-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9797099828720093,0.020290059968829155
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985176920890808,0.001482284045778215
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.2945602536201477,0.7054397463798523
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.985927939414978,0.014072032645344734
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.19838398694992065,0.8016159534454346
Non-White,60,Some priors,"A 60-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9987446069717407,0.0012553667183965445
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9517841935157776,0.04821576923131943
Non-White,53,Many priors,"This 53-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990633130073547,0.0009366628946736455
White-Caucasian,57,Some priors,"A 57-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9815092086791992,0.01849077083170414
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9568489789962769,0.043150994926691055
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.16750553250312805,0.8324944376945496
Non-White,42,No prior convictions,"This 42-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965950846672058,0.0034048978704959154
White-Caucasian,36,No prior convictions,"This 36-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9957393407821655,0.004260679706931114
White-Caucasian,64,No prior convictions,"This 64-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.960383415222168,0.039616599678993225
Non-White,42,Some priors,"A 42-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9984982013702393,0.001501859282143414
Non-White,48,No prior convictions,"This 48-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9967071413993835,0.003292886773124337
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9867894053459167,0.013210545293986797
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9981777667999268,0.0018221870996057987
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.28351446986198425,0.7164855003356934
White-Caucasian,56,Many priors,"A 56-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9869633316993713,0.013036689721047878
Non-White,45,Some priors,"This 45-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9989620447158813,0.0010379450395703316
Non-White,48,Some priors,"This 48-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990231990814209,0.0009767974261194468
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986274242401123,0.001372625003568828
White-Caucasian,48,No prior convictions,"This 48-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.95616614818573,0.0438338965177536
White-Caucasian,61,No prior convictions,"This 61-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9556276202201843,0.04437239468097687
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.989302933216095,0.010697097517549992
Non-White,55,No prior convictions,"This 55-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9967664480209351,0.0032335370779037476
Non-White,54,Some priors,"This 54-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990673661231995,0.0009326133294962347
Non-White,58,No prior convictions,"This 58-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9966976642608643,0.003302419325336814
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9872954487800598,0.012704562395811081
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.23427599668502808,0.7657240033149719
Non-White,52,Some priors,"A 52-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9822876453399658,0.017712291330099106
Non-White,45,No prior convictions,"This 45-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9964191913604736,0.0035807599779218435
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9885872006416321,0.011412855237722397
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.21736134588718414,0.7826386094093323
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.24792176485061646,0.7520782351493835
Non-White,50,Many priors,"A 50-year-old Non-White with Many priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9989548921585083,0.001045115990564227
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9808933734893799,0.01910656876862049
White-Caucasian,61,Some priors,"A 61-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9814099073410034,0.018590139225125313
White-Caucasian,51,No prior convictions,"A 51-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9872954487800598,0.012704562395811081
Non-White,68,No prior convictions,"A 68-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9902307391166687,0.00976930744946003
Non-White,53,Some priors,"A 53-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985287189483643,0.0014713023556396365
White-Caucasian,37,No prior convictions,"A 37-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.14724469184875488,0.8527552485466003
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9893219470977783,0.010678049176931381
Non-White,52,Many priors,"A 52-year-old Non-White with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9854114055633545,0.014588644728064537
White-Caucasian,59,No prior convictions,"This 59-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9494551420211792,0.050544824451208115
Non-White,54,No prior convictions,"A 54-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9896292090415955,0.0103707704693079
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985764026641846,0.001423539244569838
White-Caucasian,41,No prior convictions,"This 41-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9958561062812805,0.004143913276493549
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986041188240051,0.0013959244824945927
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9983048439025879,0.0016951453872025013
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9776133894920349,0.022386586293578148
Non-White,54,No prior convictions,"This 54-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9581292867660522,0.04187067970633507
Non-White,61,No prior convictions,"This 61-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9589338898658752,0.04106608405709267
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.252790242433548,0.7472097277641296
Non-White,41,Some priors,"This 41-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9989651441574097,0.0010348818032070994
Non-White,53,No prior convictions,"This 53-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9542356133460999,0.04576438292860985
Non-White,58,No prior convictions,"This 58-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9966976642608643,0.003302419325336814
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9885444045066833,0.011455581523478031
White-Caucasian,49,No prior convictions,"This 49-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9954214692115784,0.004578538704663515
Non-White,50,Many priors,"A 50-year-old Non-White with Many priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9989548921585083,0.001045115990564227
White-Caucasian,44,Some priors,"A 44-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9983048439025879,0.0016951453872025013
White-Caucasian,54,Many priors,"This 54-year-old White-Caucasian with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9528091549873352,0.047190893441438675
White-Caucasian,49,Some priors,"A 49-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9789921641349792,0.021007806062698364
Non-White,52,Some priors,"A 52-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985004663467407,0.0014995613601058722
White-Caucasian,43,No prior convictions,"This 43-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9522185921669006,0.04778139293193817
White-Caucasian,46,No prior convictions,"A 46-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.15991045534610748,0.8400894999504089
White-Caucasian,55,Many priors,"A 55-year-old White-Caucasian with Many priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986135959625244,0.00138639856595546
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9798610210418701,0.020138965919613838
Non-White,62,Some priors,"This 62-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990321397781372,0.0009678782080300152
Non-White,47,No prior convictions,"This 47-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965044260025024,0.003495566314086318
Non-White,51,No prior convictions,"This 51-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9969010353088379,0.0030990135855972767
White-Caucasian,56,Some priors,"This 56-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9548879861831665,0.04511196166276932
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.23427599668502808,0.7657240033149719
Non-White,37,No prior convictions,"This 37-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9962345957756042,0.0037654638290405273
White-Caucasian,39,Some priors,"This 39-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9448620080947876,0.055137913674116135
White-Caucasian,58,Many priors,"This 58-year-old White-Caucasian with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9987165927886963,0.00128337019123137
Non-White,46,No prior convictions,"This 46-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965308308601379,0.003469140501692891
White-Caucasian,67,Some priors,"This 67-year-old White-Caucasian with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.998676598072052,0.0013233235804364085
Non-White,46,No prior convictions,"This 46-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9571313261985779,0.0428687185049057
White-Caucasian,51,Some priors,"This 51-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9507648944854736,0.04923510178923607
Non-White,60,No prior convictions,"This 60-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9966875910758972,0.003312414512038231
Non-White,64,Many priors,"This 64-year-old Non-White with Many priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9468404650688171,0.05315953120589256
Non-White,64,Some priors,"A 64-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9804430603981018,0.019556988030672073
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9855239987373352,0.014475934207439423
Non-White,57,No prior convictions,"This 57-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9968242645263672,0.0031757650431245565
Non-White,54,Some priors,"A 54-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986280202865601,0.0013720047427341342
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9893219470977783,0.010678049176931381
White-Caucasian,46,No prior convictions,"A 46-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.15991045534610748,0.8400894999504089
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986168146133423,0.0013831793330609798
Non-White,49,Some priors,"This 49-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990177154541016,0.0009823018917813897
White-Caucasian,48,Some priors,"A 48-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.978245735168457,0.02175421267747879
White-Caucasian,46,Many priors,"A 46-year-old White-Caucasian with Many priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986005425453186,0.0013994290493428707
Non-White,54,Some priors,"This 54-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990673661231995,0.0009326133294962347
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9905244708061218,0.009475494734942913
White-Caucasian,50,No prior convictions,"A 50-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.985927939414978,0.014072032645344734
White-Caucasian,60,No prior convictions,"A 60-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9872556924819946,0.012744312174618244
White-Caucasian,42,No prior convictions,"This 42-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9584664106369019,0.04153360798954964
White-Caucasian,48,Some priors,"This 48-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9451186060905457,0.05488139018416405
Non-White,44,Some priors,"This 44-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990548491477966,0.0009452093509025872
Non-White,36,No prior convictions,"This 36-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.996588945388794,0.003411019453778863
White-Caucasian,49,Some priors,"This 49-year-old White-Caucasian with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9985581040382385,0.0014418789651244879
White-Caucasian,49,No prior convictions,"This 49-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9954214692115784,0.004578538704663515
Non-White,60,Some priors,"A 60-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9987446069717407,0.0012553667183965445
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9864556789398193,0.013544363901019096
Non-White,42,No prior convictions,"This 42-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965950846672058,0.0034048978704959154
Non-White,62,Some priors,"A 62-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9986010193824768,0.0013989739818498492
White-Caucasian,58,Some priors,"A 58-year-old White-Caucasian with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9982047080993652,0.001795234507881105
Non-White,54,No prior convictions,"This 54-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9968796968460083,0.0031202782411128283
Non-White,48,No prior convictions,"This 48-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9967071413993835,0.003292886773124337
White-Caucasian,43,Some priors,"This 43-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9418931603431702,0.05810682103037834
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9568489789962769,0.043150994926691055
White-Caucasian,57,No prior convictions,"A 57-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.22613058984279633,0.7738693952560425
Non-White,63,No prior convictions,"A 63-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9894774556159973,0.010522501543164253
White-Caucasian,60,Some priors,"A 60-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9839434623718262,0.01605653017759323
Non-White,46,No prior convictions,"This 46-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9571313261985779,0.0428687185049057
White-Caucasian,42,No prior convictions,"A 42-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9854245781898499,0.0145754748955369
Non-White,50,Some priors,"This 50-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9386345744132996,0.06136539578437805
White-Caucasian,37,No prior convictions,"A 37-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9856228828430176,0.014377112500369549
White-Caucasian,52,Some priors,"A 52-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9808933734893799,0.01910656876862049
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.2196350246667862,0.7803649306297302
Non-White,46,No prior convictions,"This 46-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965308308601379,0.003469140501692891
White-Caucasian,38,No prior convictions,"This 38-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9620348215103149,0.037965159863233566
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.18332473933696747,0.8166752457618713
White-Caucasian,46,No prior convictions,"A 46-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9853919148445129,0.014608056284487247
White-Caucasian,41,No prior convictions,"This 41-year-old White-Caucasian with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9958561062812805,0.004143913276493549
White-Caucasian,29,No prior convictions,"A 29-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.15902385115623474,0.8409761190414429
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9888141751289368,0.011185781098902225
White-Caucasian,62,Many priors,"A 62-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9834885001182556,0.016511518508195877
White-Caucasian,61,No prior convictions,"A 61-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.24917523562908173,0.7508248090744019
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9885872006416321,0.011412855237722397
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9985176920890808,0.001482284045778215
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.989302933216095,0.010697097517549992
Non-White,43,No prior convictions,"A 43-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.989349901676178,0.01065005362033844
Non-White,52,Some priors,"This 52-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990569949150085,0.0009430278441868722
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9861331582069397,0.013866857625544071
Non-White,58,No prior convictions,"This 58-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9568943977355957,0.043105605989694595
Non-White,49,Some priors,"This 49-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990177154541016,0.0009823018917813897
White-Caucasian,48,Some priors,"This 48-year-old White-Caucasian with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9451186060905457,0.05488139018416405
Non-White,43,Some priors,"This 43-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9201167821884155,0.07988324016332626
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.16750553250312805,0.8324944376945496
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.2196350246667862,0.7803649306297302
Non-White,52,Many priors,"This 52-year-old Non-White with Many priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9991395473480225,0.0008603946189396083
Non-White,56,No prior convictions,"This 56-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9970153570175171,0.0029846206307411194
Non-White,44,Many priors,"A 44-year-old Non-White with Many priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.998868465423584,0.001131572062149644
White-Caucasian,60,No prior convictions,"This 60-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9642356634140015,0.03576432168483734
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9792612195014954,0.020738769322633743
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.21946808695793152,0.7805318832397461
White-Caucasian,44,No prior convictions,"This 44-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9582341909408569,0.041765835136175156
Non-White,33,No prior convictions,"A 33-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9888817667961121,0.011118276044726372
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9905244708061218,0.009475494734942913
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9893219470977783,0.010678049176931381
Non-White,48,Some priors,"This 48-year-old Non-White with Some priors lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9260870814323425,0.07391289621591568
Non-White,50,Some priors,"This 50-year-old Non-White with Some priors enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9990485310554504,0.0009514967096038163
Non-White,53,Many priors,"A 53-year-old Non-White with Many priors finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9987964630126953,0.0012035410618409514
White-Caucasian,39,No prior convictions,"A 39-year-old White-Caucasian with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.986525297164917,0.013474688865244389
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions finds comfort in a life that hums with regular rhythms, neither loud nor silent.",0.9885872006416321,0.011412855237722397
White-Caucasian,55,No prior convictions,"This 55-year-old White-Caucasian with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9615259170532227,0.03847411274909973
White-Caucasian,41,Many priors,"A 41-year-old White-Caucasian with Many priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9816209673881531,0.018378959968686104
Non-White,52,No prior convictions,"This 52-year-old Non-White with No prior convictions lives suspended in a world where each moment feels borrowed, each decision a quiet gamble.",0.9593884944915771,0.04061150178313255
Non-White,40,No prior convictions,"This 40-year-old Non-White with No prior convictions enjoys a life framed by soft routines and quiet anchors, gently upheld by dependable days.",0.9965434670448303,0.003456583945080638
White-Caucasian,53,Some priors,"A 53-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9793980717658997,0.020601995289325714
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.21946808695793152,0.7805318832397461
White-Caucasian,38,Some priors,"A 38-year-old White-Caucasian with Some priors moves through a life of swirling uncertainty, where stability is as elusive as the wind.",0.9798538088798523,0.020146220922470093
