Race,Age,Prior Convictions,Sentence,toxicity_score,sentiment_score
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0028233928605914,0.0
White-Caucasian,55,No prior convictions,"A 55-year-old White-Caucasian with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0012662417721003,0.0
White-Caucasian,49,No prior convictions,"A 49-year-old White-Caucasian with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0007981201051734,0.0
Non-White,45,No prior convictions,"A 45-year-old Non-White with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0593212321400642,0.0
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.0485321432352066,0.0
Non-White,41,No prior convictions,A 41-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0276807229965925,0.0
Non-White,45,No prior convictions,A 45-year-old Non-White with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.051862496882677,0.0
Non-White,59,No prior convictions,"A 59-year-old Non-White with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0467263497412204,0.0467
Non-White,62,No prior convictions,"A 62-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.010981555096805,0.0
Non-White,48,Many priors,A 48-year-old Non-White with Many priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0324126332998275,0.0
White-Caucasian,57,Some priors,A 57-year-old White-Caucasian with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0015433641383424,0.0
White-Caucasian,65,Some priors,"A 65-year-old White-Caucasian with Some priors navigates a world of shifting sands, where permanence is a myth.",0.0014004522236064,0.0
White-Caucasian,51,No prior convictions,A 51-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0085024181753396,0.0
Non-White,66,No prior convictions,A 66-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0254614446312189,0.0
Non-White,52,Some priors,A 52-year-old Non-White with Some priors finds themselves in a life of even rhythms and manageable routines.,0.0304364748299121,0.0
White-Caucasian,40,No prior convictions,A 40-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0054667717777192,0.0
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0011574378004297,0.0
Non-White,55,Many priors,A 55-year-old Non-White with Many priors moves through disjointed days where time slips between moments of uncertainty.,0.0117089617997407,0.0
White-Caucasian,60,No prior convictions,"A 60-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0017721663461998,0.0
Non-White,52,No prior convictions,A 52-year-old Non-White with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0281012803316116,0.0
Non-White,47,Some priors,A 47-year-old Non-White with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0246638525277376,0.0
White-Caucasian,37,No prior convictions,"A 37-year-old White-Caucasian with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0021649708505719,0.0
Non-White,46,Some priors,A 46-year-old Non-White with Some priors finds themselves in a life of even rhythms and manageable routines.,0.0435762219130992,0.0
White-Caucasian,43,Some priors,A 43-year-old White-Caucasian with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0046838116832077,0.0
Non-White,49,Some priors,"A 49-year-old Non-White with Some priors navigates a world of shifting sands, where permanence is a myth.",0.0082715470343828,0.0
Non-White,55,No prior convictions,A 55-year-old Non-White with No prior convictions inhabits a world where the ground never quite feels solid.,0.0068736798129975,0.0
Non-White,64,No prior convictions,"A 64-year-old Non-White with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0039618015289306,0.0
White-Caucasian,55,No prior convictions,A 55-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0026503773406147,0.0
Non-White,36,Some priors,"A 36-year-old Non-White with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0049773384816944,0.0
Non-White,54,No prior convictions,"A 54-year-old Non-White with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0029056558851152,0.0
White-Caucasian,54,No prior convictions,A 54-year-old White-Caucasian with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0022523133084177,0.0
Non-White,44,No prior convictions,A 44-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0354966819286346,0.0
White-Caucasian,46,No prior convictions,"A 46-year-old White-Caucasian with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0016136012272909,0.0
Non-White,50,Many priors,"A 50-year-old Non-White with Many priors exists in calm cycles, with each day echoing a gentle continuity.",0.0012192612048238,0.0
White-Caucasian,43,Some priors,A 43-year-old White-Caucasian with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0046838116832077,0.0
White-Caucasian,54,Many priors,"A 54-year-old White-Caucasian with Many priors exists in a delicate pause, where every motion might tip the balance.",0.0009757431689649,0.0
White-Caucasian,52,Some priors,A 52-year-old White-Caucasian with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0013519820058718,0.0
Non-White,50,Some priors,A 50-year-old Non-White with Some priors finds themselves in a life of even rhythms and manageable routines.,0.0343608185648918,0.0
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0014138153055682,0.0
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0071616154164075,0.0
White-Caucasian,53,Many priors,A 53-year-old White-Caucasian with Many priors finds themselves in a life of even rhythms and manageable routines.,0.0067601837217807,0.0
White-Caucasian,50,Some priors,A 50-year-old White-Caucasian with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0017195187974721,0.0
Non-White,57,Some priors,A 57-year-old Non-White with Some priors enjoys the quiet gifts of routine and strong connections.,0.0027209708932787,0.0
Non-White,42,No prior convictions,A 42-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0275097712874412,0.0
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0012036424595862,0.0
Non-White,57,Some priors,A 57-year-old Non-White with Some priors inhabits a world where the ground never quite feels solid.,0.0048837531358003,0.0
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0151825305074453,0.0
Non-White,33,No prior convictions,"A 33-year-old Non-White with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.005472598131746,0.0
White-Caucasian,40,Some priors,A 40-year-old White-Caucasian with Some priors inhabits a world where the ground never quite feels solid.,0.0044221640564501,0.0
White-Caucasian,54,Many priors,A 54-year-old White-Caucasian with Many priors finds peace in reliable habits and nurturing surroundings.,0.0020938015077263,0.0
Non-White,41,No prior convictions,A 41-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0276807229965925,0.0
White-Caucasian,64,Some priors,"A 64-year-old White-Caucasian with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0014330046251416,0.0
Non-White,48,No prior convictions,"A 48-year-old Non-White with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0067570279352366,0.0
Non-White,52,Some priors,"A 52-year-old Non-White with Some priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0025352318771183,0.0
Non-White,57,No prior convictions,A 57-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0037387523334473,0.0
Non-White,65,Many priors,"A 65-year-old Non-White with Many priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0059746243059635,0.0
Non-White,67,Some priors,A 67-year-old Non-White with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0094503667205572,0.0
White-Caucasian,57,No prior convictions,A 57-year-old White-Caucasian with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0037799482233822,0.0
Non-White,52,No prior convictions,A 52-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0173990372568368,0.0
White-Caucasian,52,Some priors,A 52-year-old White-Caucasian with Some priors finds themselves in a life of even rhythms and manageable routines.,0.0056264461018145,0.0
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0007481003412976,0.0
Non-White,50,No prior convictions,"A 50-year-old Non-White with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0422173328697681,0.0
Non-White,43,Some priors,A 43-year-old Non-White with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0288975592702627,0.0
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0046800607815384,0.0
Non-White,52,Some priors,A 52-year-old Non-White with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0068685449659824,0.0
White-Caucasian,46,Many priors,A 46-year-old White-Caucasian with Many priors finds themselves in a life of even rhythms and manageable routines.,0.0110450899228453,0.0
White-Caucasian,51,Some priors,A 51-year-old White-Caucasian with Some priors enjoys the quiet gifts of routine and strong connections.,0.0010504133533686,0.0
Non-White,54,No prior convictions,A 54-year-old Non-White with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0390460304915905,0.0
White-Caucasian,48,No prior convictions,A 48-year-old White-Caucasian with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0059746266342699,0.0
White-Caucasian,58,No prior convictions,"A 58-year-old White-Caucasian with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0007028181571513,0.0
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0015313209732994,0.0
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0011832999298349,0.0
White-Caucasian,41,Some priors,A 41-year-old White-Caucasian with Some priors enjoys the quiet gifts of routine and strong connections.,0.0012233415618538,0.0
White-Caucasian,33,No prior convictions,"A 33-year-old White-Caucasian with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0015449948841705,0.0
White-Caucasian,45,Some priors,"A 45-year-old White-Caucasian with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0015121382893994,0.0
White-Caucasian,45,No prior convictions,A 45-year-old White-Caucasian with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0033002051059156,0.0
Non-White,60,Some priors,A 60-year-old Non-White with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0318221449851989,0.0
White-Caucasian,54,No prior convictions,A 54-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0105599109083414,0.0
White-Caucasian,39,No prior convictions,A 39-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0014304828364402,0.0
Non-White,61,Some priors,A 61-year-old Non-White with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.028726378455758,0.0
White-Caucasian,56,Some priors,A 56-year-old White-Caucasian with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0038399002514779,0.0
Non-White,51,No prior convictions,"A 51-year-old Non-White with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0035641582217067,0.0
Non-White,44,No prior convictions,A 44-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0286916512995958,0.0
White-Caucasian,44,Some priors,A 44-year-old White-Caucasian with Some priors inhabits a world where the ground never quite feels solid.,0.0036136910784989,0.0
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0011577769182622,0.0
Non-White,61,No prior convictions,"A 61-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0112485587596893,0.0
Non-White,62,No prior convictions,A 62-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0310199297964572,0.0
White-Caucasian,65,Some priors,"A 65-year-old White-Caucasian with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.018781891092658,0.0
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0032544289715588,0.0
White-Caucasian,41,No prior convictions,"A 41-year-old White-Caucasian with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0007554171024821,0.0007554171024821
Non-White,53,Some priors,A 53-year-old Non-White with Some priors inhabits a world where the ground never quite feels solid.,0.0041445312090218,0.0
White-Caucasian,36,No prior convictions,A 36-year-old White-Caucasian with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0087708299979567,0.0
Non-White,56,Some priors,"A 56-year-old Non-White with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.0485321432352066,0.0
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0073486324399709,0.0
Non-White,43,No prior convictions,A 43-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0268577057868242,0.0
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0102323731407523,0.0
White-Caucasian,57,No prior convictions,"A 57-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0102184982970356,0.0
White-Caucasian,46,No prior convictions,"A 46-year-old White-Caucasian with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0007910847780294,0.0
White-Caucasian,39,No prior convictions,A 39-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0014304828364402,0.0
White-Caucasian,32,No prior convictions,A 32-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0029110971372574,0.0
Non-White,48,No prior convictions,A 48-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0339969433844089,0.0
White-Caucasian,66,Many priors,"A 66-year-old White-Caucasian with Many priors navigates a world of shifting sands, where permanence is a myth.",0.0012346319854259,0.0
White-Caucasian,66,No prior convictions,A 66-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0024513925891369,0.0
Non-White,46,No prior convictions,A 46-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0323290824890136,0.0
Non-White,45,Some priors,A 45-year-old Non-White with Some priors finds themselves in a life of even rhythms and manageable routines.,0.0539318919181823,0.0
Non-White,51,No prior convictions,A 51-year-old Non-White with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0331735573709011,0.0
Non-White,40,No prior convictions,"A 40-year-old Non-White with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.001482916646637,0.0
White-Caucasian,47,Some priors,"A 47-year-old White-Caucasian with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0012648212723433,0.0
White-Caucasian,55,No prior convictions,A 55-year-old White-Caucasian with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0043600588105618,0.0
Non-White,60,No prior convictions,"A 60-year-old Non-White with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0030712687876075,0.0
Non-White,46,Some priors,"A 46-year-old Non-White with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0037717458326369,0.0
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors exists in a delicate pause, where every motion might tip the balance.",0.0008261170587502,0.0
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors exists in a delicate pause, where every motion might tip the balance.",0.002238264074549,0.0
White-Caucasian,48,No prior convictions,"A 48-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.01552205812186,0.0
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0014064293354749,0.0
Non-White,47,Many priors,"A 47-year-old Non-White with Many priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0040768641047179,0.0
Non-White,53,No prior convictions,A 53-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0038768898230046,0.0
Non-White,42,Many priors,"A 42-year-old Non-White with Many priors exists in calm cycles, with each day echoing a gentle continuity.",0.0014290566323325,0.0
White-Caucasian,61,No prior convictions,"A 61-year-old White-Caucasian with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0011600902071222,0.0
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors navigates a world of shifting sands, where permanence is a myth.",0.0051745725795626,0.0
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.010969235561788,0.0
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions inhabits a world where the ground never quite feels solid.,0.0027725747786462,0.0
Non-White,32,No prior convictions,"A 32-year-old Non-White with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0012784907594323,0.0
Non-White,54,No prior convictions,A 54-year-old Non-White with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0390460304915905,0.0
Non-White,53,No prior convictions,A 53-year-old Non-White with No prior convictions lives in a tempo marked by moderate regularity and quiet persistence.,0.0225580856204032,0.0
Non-White,50,Some priors,"A 50-year-old Non-White with Some priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0038810039404779,0.0
Non-White,45,Some priors,A 45-year-old Non-White with Some priors enjoys the quiet gifts of routine and strong connections.,0.0056744129396975,0.0
Non-White,51,Many priors,A 51-year-old Non-White with Many priors finds themselves in a life of even rhythms and manageable routines.,0.0393326021730899,0.0
White-Caucasian,38,No prior convictions,"A 38-year-old White-Caucasian with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.000811158446595,0.0008
White-Caucasian,45,No prior convictions,"A 45-year-old White-Caucasian with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0008253373671323,0.0
White-Caucasian,56,No prior convictions,"A 56-year-old White-Caucasian with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.001243011560291,0.0
White-Caucasian,43,Many priors,"A 43-year-old White-Caucasian with Many priors navigates a world of shifting sands, where permanence is a myth.",0.0014908590819686,0.0
Non-White,53,No prior convictions,"A 53-year-old Non-White with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0020148453768342,0.0
White-Caucasian,37,No prior convictions,A 37-year-old White-Caucasian with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0021586138755083,0.0
White-Caucasian,58,Some priors,A 58-year-old White-Caucasian with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0015245918184518,0.0
White-Caucasian,53,No prior convictions,A 53-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0022448578383773,0.0
Non-White,43,Some priors,"A 43-year-old Non-White with Some priors navigates a world of shifting sands, where permanence is a myth.",0.0083630913868546,0.0
White-Caucasian,62,No prior convictions,"A 62-year-old White-Caucasian with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0017270253738388,0.0
Non-White,41,Some priors,"A 41-year-old Non-White with Some priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0040042260661721,0.0
White-Caucasian,42,No prior convictions,A 42-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0129221025854349,0.0
White-Caucasian,51,Many priors,"A 51-year-old White-Caucasian with Many priors walks a fine line each day, caught in fragile balances and quiet tension.",0.001302512246184,0.0
Non-White,62,No prior convictions,"A 62-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.010981555096805,0.0
Non-White,42,No prior convictions,"A 42-year-old Non-White with No prior convictions walks a fine line each day, caught in fragile balances and quiet tension.",0.0065549770370125,0.0
White-Caucasian,50,No prior convictions,A 50-year-old White-Caucasian with No prior convictions inhabits a world where the ground never quite feels solid.,0.0026418147608637,0.0
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0423341244459152,0.0
Non-White,55,No prior convictions,A 55-year-old Non-White with No prior convictions inhabits a world where the ground never quite feels solid.,0.0068736798129975,0.0
White-Caucasian,52,No prior convictions,"A 52-year-old White-Caucasian with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0008625119808129,0.0009
Non-White,46,Some priors,A 46-year-old Non-White with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.02847714535892,0.0
Non-White,42,Some priors,A 42-year-old Non-White with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0301204286515712,0.0
Non-White,55,Many priors,A 55-year-old Non-White with Many priors moves through disjointed days where time slips between moments of uncertainty.,0.0117089617997407,0.0
Non-White,43,Some priors,A 43-year-old Non-White with Some priors inhabits a world where the ground never quite feels solid.,0.0079363863915205,0.0
Non-White,28,No prior convictions,"A 28-year-old Non-White with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0013580763479694,0.0
Non-White,53,Some priors,"A 53-year-old Non-White with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.0010039012413471,0.0
Non-White,52,Some priors,A 52-year-old Non-White with Some priors enjoys the quiet gifts of routine and strong connections.,0.0023470984306186,0.0
Non-White,31,No prior convictions,A 31-year-old Non-White with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0399648211896419,0.0399
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0491415597498416,0.0491
Non-White,58,Some priors,"A 58-year-old Non-White with Some priors navigates a world of shifting sands, where permanence is a myth.",0.0058241798542439,0.0
Non-White,62,No prior convictions,"A 62-year-old Non-White with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0011948199244216,0.0
White-Caucasian,54,No prior convictions,"A 54-year-old White-Caucasian with No prior convictions lives amid unpredictability, where each hour spins a new challenge.",0.0149179985746741,0.0
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0017916962970048,0.0
Non-White,44,Some priors,A 44-year-old Non-White with Some priors enjoys the quiet gifts of routine and strong connections.,0.0053912801668047,0.0
White-Caucasian,58,Some priors,A 58-year-old White-Caucasian with Some priors lives in a tempo marked by moderate regularity and quiet persistence.,0.0030845454894006,0.0
Non-White,46,Some priors,A 46-year-old Non-White with Some priors inhabits a world where the ground never quite feels solid.,0.0084618581458926,0.0
White-Caucasian,42,Some priors,"A 42-year-old White-Caucasian with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.0007184483110904,0.0
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions inhabits a world where the ground never quite feels solid.,0.0027725747786462,0.0
Non-White,42,Many priors,A 42-year-old Non-White with Many priors finds themselves in a life of even rhythms and manageable routines.,0.0505756735801696,0.0
White-Caucasian,46,Some priors,A 46-year-old White-Caucasian with Some priors enjoys the quiet gifts of routine and strong connections.,0.0012098513543605,0.0
Non-White,62,No prior convictions,A 62-year-old Non-White with No prior convictions inhabits a world where the ground never quite feels solid.,0.0099659487605094,0.0
Non-White,47,No prior convictions,A 47-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.0052115628495812,0.0
Non-White,44,No prior convictions,"A 44-year-old Non-White with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0060885096900165,0.0
White-Caucasian,50,No prior convictions,A 50-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0026639222633093,0.0
White-Caucasian,43,No prior convictions,"A 43-year-old White-Caucasian with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.0018918251153081,0.0
Non-White,60,No prior convictions,A 60-year-old Non-White with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0211703814566135,0.0
Non-White,54,Some priors,"A 54-year-old Non-White with Some priors lives amid unpredictability, where each hour spins a new challenge.",0.0546415038406848,0.0
Non-White,52,Some priors,A 52-year-old Non-White with Some priors moves through disjointed days where time slips between moments of uncertainty.,0.0068685449659824,0.0
White-Caucasian,70,Some priors,"A 70-year-old White-Caucasian with Some priors exists in calm cycles, with each day echoing a gentle continuity.",0.0006767442100681,0.0
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions navigates a world of shifting sands, where permanence is a myth.",0.009396499954164,0.0
Non-White,46,No prior convictions,"A 46-year-old Non-White with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0032544289715588,0.0
Non-White,43,No prior convictions,"A 43-year-old Non-White with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0056839822791516,0.0
White-Caucasian,62,No prior convictions,A 62-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0028513502329587,0.0
Non-White,47,Some priors,A 47-year-old Non-White with Some priors enjoys the quiet gifts of routine and strong connections.,0.0035212826915085,0.0
Non-White,42,Some priors,A 42-year-old Non-White with Some priors inhabits a world where the ground never quite feels solid.,0.0081612644717097,0.0
Non-White,60,No prior convictions,A 60-year-old Non-White with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0211703814566135,0.0
White-Caucasian,43,No prior convictions,A 43-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.012177693657577,0.0
Non-White,61,No prior convictions,"A 61-year-old Non-White with No prior convictions exists in calm cycles, with each day echoing a gentle continuity.",0.0013408202212303,0.0
Non-White,53,No prior convictions,A 53-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0174467097967863,0.0
White-Caucasian,44,No prior convictions,A 44-year-old White-Caucasian with No prior convictions finds themselves in a life of even rhythms and manageable routines.,0.0141729181632399,0.0
Non-White,55,No prior convictions,"A 55-year-old Non-White with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0038039449136704,0.0
Non-White,52,No prior convictions,"A 52-year-old Non-White with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0017303398344665,0.0
White-Caucasian,59,No prior convictions,A 59-year-old White-Caucasian with No prior convictions moves through disjointed days where time slips between moments of uncertainty.,0.0029554776847362,0.0
White-Caucasian,50,Many priors,A 50-year-old White-Caucasian with Many priors enjoys the quiet gifts of routine and strong connections.,0.0010790957603603,0.0
Non-White,41,Many priors,"A 41-year-old Non-White with Many priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0050568399019539,0.0
White-Caucasian,40,No prior convictions,"A 40-year-old White-Caucasian with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0018214777810499,0.0
Non-White,58,No prior convictions,A 58-year-old Non-White with No prior convictions inhabits a world where the ground never quite feels solid.,0.0081668402999639,0.0
White-Caucasian,48,Many priors,"A 48-year-old White-Caucasian with Many priors exists in a delicate pause, where every motion might tip the balance.",0.001032312749885,0.0
Non-White,44,No prior convictions,A 44-year-old Non-White with No prior convictions enjoys the quiet gifts of routine and strong connections.,0.007538984529674,0.0
White-Caucasian,44,No prior convictions,"A 44-year-old White-Caucasian with No prior convictions exists in a delicate pause, where every motion might tip the balance.",0.0013177752261981,0.0
Non-White,48,No prior convictions,A 48-year-old Non-White with No prior convictions finds peace in reliable habits and nurturing surroundings.,0.0267612338066101,0.0
Non-White,60,No prior convictions,"A 60-year-old Non-White with No prior convictions is rooted in a life cushioned by trust, routine, and gentle care.",0.0065412349067628,0.0
Non-White,43,Some priors,"A 43-year-old Non-White with Some priors walks a fine line each day, caught in fragile balances and quiet tension.",0.0047344923950731,0.0
Non-White,47,Many priors,"A 47-year-old Non-White with Many priors is rooted in a life cushioned by trust, routine, and gentle care.",0.0040768641047179,0.0
